"","Date","region","confirmed","recovered","deaths","actives","population","cumulative_test"
"138",2020-05-03,"diamond princess",712,645,13,54,NA,NA
"139",2020-05-03,"vietnam",271,219,0,52,96462106,261004
"140",2020-05-03,"guyana",82,22,9,51,782766,NA
"141",2020-05-03,"madagascar",149,98,0,51,26969307,NA
"142",2020-05-03,"the bahamas",83,24,11,48,389482,NA
"143",2020-05-03,"togo",124,67,9,48,8082366,NA
"144",2020-05-03,"benin",90,42,2,46,11801151,NA
"145",2020-05-03,"south sudan",46,0,0,46,11062113,NA
"146",2020-05-03,"zambia",124,78,3,43,17861030,NA
"147",2020-05-03,"libya",63,22,3,38,6777452,NA
"148",2020-05-03,"uganda",89,52,0,37,44269594,33802
"149",2020-05-03,"barbados",82,44,7,31,287025,NA
"150",2020-05-03,"mongolia",39,10,0,29,3225167,NA
"151",2020-05-03,"malawi",39,9,3,27,18628747,NA
"152",2020-05-03,"liechtenstein",82,55,1,26,38019,NA
"153",2020-05-03,"zimbabwe",34,5,4,25,14645468,8314
"154",2020-05-03,"angola",35,11,2,22,31825295,NA
"155",2020-05-03,"trinidad and tobago",116,93,8,15,1394973,NA
"156",2020-05-03,"botswana",23,8,1,14,2303697,NA
"157",2020-05-03,"syria",44,27,3,14,17070135,NA
"158",2020-05-03,"eritrea",39,26,0,13,3497117,NA
"159",2020-05-03,"monaco",95,78,4,13,38964,NA
"160",2020-05-03,"sao tome and principe",16,4,1,11,NA,NA
"161",2020-05-03,"laos",19,9,0,10,7169455,NA
"162",2020-05-03,"brunei",138,128,1,9,433285,NA
"163",2020-05-03,"holy see",11,2,0,9,NA,NA
"164",2020-05-03,"east timor",24,16,0,8,1293119,NA
"165",2020-05-03,"grenada",21,13,0,8,112003,NA
"166",2020-05-03,"namibia",16,8,0,8,2494530,NA
"167",2020-05-03,"papua new guinea",8,0,0,8,8776109,NA
"168",2020-05-03,"saint vincent and the grenadines",16,8,0,8,110589,NA
"169",2020-05-03,"antigua and barbuda",25,15,3,7,97118,NA
"170",2020-05-03,"burundi",15,7,1,7,10864245,NA
"171",2020-05-03,"gambia",17,9,1,7,2347706,NA
"172",2020-05-03,"mauritius",332,315,10,7,1198575,NA
"173",2020-05-03,"ms zaandam",9,0,2,7,NA,NA
"174",2020-05-03,"saint kitts and nevis",15,8,0,7,52823,NA
"175",2020-05-03,"yemen",10,1,2,7,29161922,NA
"176",2020-05-03,"seychelles",11,6,0,5,97739,NA
"177",2020-05-03,"fiji",18,14,0,4,889953,NA
"178",2020-05-03,"belize",18,13,2,3,390353,NA
"179",2020-05-03,"comoros",3,0,0,3,850886,NA
"180",2020-05-03,"dominica",16,13,0,3,71808,NA
"181",2020-05-03,"nicaragua",15,7,5,3,6545502,NA
"182",2020-05-03,"saint lucia",18,15,0,3,182790,NA
"183",2020-05-03,"bhutan",7,5,0,2,763092,NA
"184",2020-05-03,"cambodia",122,120,0,2,16486542,NA
"185",2020-05-03,"mauritania",8,6,1,1,4525696,NA
"186",2020-05-03,"western sahara",6,5,0,1,582463,NA
"187",2020-05-03,"suriname",10,9,1,0,581372,NA
